               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11686,            0.029416,                   0,           0.0033333,             0.19355,           0.0034765,           0.0010714,             0.10053,            0.026057,                   0,              0.0865,              0.0015,              0.0015
                   1,            0.088513,            0.028181,                   0,           0.0033333,             0.67742,            0.026445,           0.0091059,            0.063643,            0.022489,                   0,            0.072039,           0.0030386,           0.0030386
                   2,            0.068626,            0.028513,                   0,              0.1283,              0.3871,             0.14165,            0.036525,            0.058825,            0.018109,                   0,            0.057514,           0.0045139,           0.0045139
                   3,            0.062564,            0.023078,                   0,             0.25931,             0.58065,              0.2532,            0.077508,            0.056001,            0.017661,                   0,            0.042926,           0.0059258,           0.0059258
                   4,            0.059129,            0.021681,                   0,             0.82175,             0.77419,             0.84838,             0.34748,            0.057584,            0.016302,                   0,            0.028274,           0.0072743,           0.0072743
                   5,            0.058965,            0.018141,                   0,             0.72452,             0.74194,             0.81602,             0.26361,            0.061831,            0.012943,                   0,             0.01356,           0.0085595,           0.0085595
                   6,            0.057964,            0.018742,                   0,             0.59679,              0.6129,             0.69017,             0.29236,             0.06226,               0.011,                   0,            0.008812,            0.008812,            0.008812
                   7,            0.050155,            0.017938,                   0,             0.43505,             0.87097,             0.53853,             0.24818,            0.060392,             0.01061,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.046618,            0.017116,                   0,             0.86517,             0.80645,             0.90409,             0.32652,            0.053636,           0.0096615,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.045881,            0.016736,                   0,             0.91436,             0.74194,             0.85061,             0.40936,            0.051823,           0.0096989,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.044522,             0.01589,                   0,             0.95718,             0.80645,             0.90557,             0.50196,            0.039595,           0.0081002,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.041726,            0.013527,                   0,              0.9247,             0.79252,             0.92445,             0.61903,            0.041997,           0.0078148,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.037661,            0.014063,                   0,             0.96566,             0.90713,             0.94803,             0.59477,            0.043668,           0.0084101,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.037709,            0.012915,                   0,                   1,             0.94475,             0.97017,             0.66782,            0.047188,           0.0075913,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.035433,            0.013103,                   0,                   1,             0.94369,              0.9743,             0.54112,            0.048552,           0.0073647,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.036529,            0.012754,                   0,                   1,             0.96459,             0.97829,             0.65565,            0.042283,           0.0069063,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.034751,            0.011822,                   0,             0.99431,             0.96774,             0.97757,             0.76937,            0.037088,           0.0067436,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.032431,            0.011729,                   0,                   1,             0.96162,             0.98161,             0.78897,             0.03834,           0.0063801,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.032175,            0.011479,                   0,             0.99179,             0.96774,             0.98522,             0.72624,            0.038248,            0.006207,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.032179,            0.011101,                   0,             0.96644,             0.92919,             0.98194,             0.76474,            0.032615,            0.006487,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.030775,            0.011264,                   0,             0.96765,             0.96502,              0.9758,              0.7284,            0.041096,           0.0064678,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.027016,           0.0098628,                   0,             0.99944,             0.96774,              0.9702,             0.64341,            0.040806,           0.0062489,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.027825,            0.010639,                   0,             0.99574,             0.96774,             0.96883,             0.70676,            0.037057,           0.0061725,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.028782,            0.010635,                   0,             0.99559,             0.93548,             0.97752,             0.69451,            0.031014,           0.0060614,                   0,            0.005644,            0.005644,            0.005644
                  24,             0.02702,           0.0095419,                   0,             0.99653,             0.96774,             0.96921,             0.71313,            0.034227,           0.0059718,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.026312,            0.010516,                   0,                   1,             0.96341,             0.98076,             0.70403,            0.029508,           0.0059302,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.024541,            0.009603,                   0,             0.99645,             0.96774,             0.97634,             0.74701,            0.027705,           0.0057596,                   0,             0.00505,             0.00505,             0.00505
                  27,             0.02475,           0.0094914,                   0,             0.99785,             0.96774,             0.98255,             0.80731,            0.027865,           0.0058592,                   0,            0.004852,            0.004852,            0.004852
                  28,             0.02427,           0.0096316,                   0,             0.99756,             0.96774,              0.9762,             0.80325,            0.027424,           0.0062392,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.022324,           0.0084322,                   0,             0.99718,             0.96774,             0.98522,             0.83015,            0.029472,           0.0061266,                   0,            0.004456,            0.004456,            0.004456
